tipo;tema;legislacao;descricao;link
Portarias;REPASSES CONSTITUCIONAIS ;Portarias de repasses de ICMS, IPI e IPVA, da União e dos estados, para os municípios ;Portarias da Superintendência Central de Administração Financeira (SCAF) publicadas no Diário Oficial do Estado, com os valores consolidados por mês, relativas ao exercício atual.;https://www.fazenda.mg.gov.br/governo/assuntos_municipais/previsao_repasses/previsao_repasse_ICMS/portarias_ICMS/
Resolução;GOVERNO DIGITAL ;Resolução CGE N° 020, 06 de agosto de 2014;Estabelece conceitos e diretrizes, no âmbito da Administração direta, autárquica e fundacional do Poder Executivo Estadual, em matéria de dados abertos governamentais.;https://www.pesquisalegislativa.mg.gov.br/LegislacaoCompleta.aspx?cod=171158
Resolução;ACORDO DE LENIÊNCIA;Resolução Conjunta CGE/AGE Nº 05/2024, 03 de dezembro de 2024;Define os procedimentos para a negociação, a celebração e o acompanhamento dos acordos de leniência de que trata a Lei n° 12.846, de 1° de agosto de 2013, no âmbito da Controladoria-Geral do Estado – CGE e da Advocacia-Geral do Estado – AGE.;https://www.pesquisalegislativa.mg.gov.br/LegislacaoCompleta.aspx?cod=213015&marc=
Resolução;ANTICORRUPÇÃO;Resolução Conjunta CGE/AGE/CBMMG/DER/IPSEMG/OGE/PCMG/ PMMG/SEF/SEGOV/SEJUSP/SEPLAG Nº 01, de 18 de julho de 2025;Aprova a 4ª Edição do Plano Anticorrupção do Poder Executivo do Estado de Minas Gerais;https://www.pesquisalegislativa.mg.gov.br/LegislacaoCompleta.aspx?cod=216861&marc=
Resolução;GESTÃO DE RISCOS;Resolução Conjunta CGE/SEPLAG Nº 01, 8 de abril de 2024;Institui a Política de Gestão de Riscos nas Contratações Públicas no âmbito da Administração Pública direta, autárquica e fundacional do Poder Executivo.;https://www.pesquisalegislativa.mg.gov.br/LegislacaoCompleta.aspx?cod=209680&marc=
Resolução;GESTÃO DE RISCOS;Resolução Conjunta CGE/SEPLAG Nº 04, 4 de outubro de 2024;Altera a Resolução Conjunta CGE/SEPLAG nº 1, de 08 de abril de 2024, que institui a Política de Gestão de Riscos nas Contratações Públicas no âmbito da Administração Pública direta, autárquica e fundacional do Poder Executivo.;https://www.pesquisalegislativa.mg.gov.br/LegislacaoCompleta.aspx?cod=212145&marc=
Resolução;PROTEÇÃO AO DENUNCIANTE ;Resolução Conjunta OGE/CGE nº 1 de 13/08/2025 ;Dispõe sobre os mecanismos de proteção ao denunciante de ilícito ou de irregularidade praticados contra órgãos e entidades da Administração Pública direta, autárquica e fundacional do Poder Executivo Estadual. ;https://www.pesquisalegislativa.mg.gov.br/LegislacaoCompleta.aspx?cod=216976&marc=
Resolução;CADASTRO GERAL DE FORNECEDORES - CAGEF ;Resolução Conjunta SEGOV/CGE/ Nº 02, 30 de dezembro de 2024;Estabelece o regulamento do Cadastro Geral de Convenentes do Estado de Minas Gerais.;https://www.pesquisalegislativa.mg.gov.br/LegislacaoCompleta.aspx?cod=213467&marc=
Resolução;CONFLITO DE INTERESSES;Resolução Conjunta SEPLAG/CGE Nº 10.668, 3 de novembro de 2022;Dispõe sobre o escopo, o fluxo e os critérios para avaliação objetiva de conflitos de interesses, bem como sobre as responsabilidades e os prazos para sua realização, nos processos relativos ao recebimento de doações de bens móveis e serviços e o recebimento de bens móveis em comodato pela Administração Pública direta, autárquica e fundacional do Poder Executivo.;https://www.pesquisalegislativa.mg.gov.br/LegislacaoCompleta.aspx?cod=202421&marc=
Resolução;TRANSPARÊNCIA PÚBLICA e ACESSO À INFORMAÇÃO ;Resolução Conjunta SEPLAG/CGE Nº 8676, de 30 de julho de 2012;Disciplina, no âmbito do Poder Executivo Estadual, a forma de divulgação da remuneração e subsídio recebidos por ocupante de cargo, posto, graduação, função e emprego público, incluindo auxílios, jetons e outras vantagens pecuniárias do pessoal na ativa.;https://www.pesquisalegislativa.mg.gov.br/LegislacaoCompleta.aspx?cod=168426&marc=
Resolução;PLANO MINEIRO DE INTEGRIDADE;Resolução Conjunta SEPLAG/CGE Nº 9881/2018, 24 de julho de 2018;Dispõe sobre a atuação conjunta para o fortalecimento do ambiente de integridade no âmbito da Administração Pública estadual nos termos do Decreto Estadual nº 47.185, de 13 de maio de 2017, que estabelece o Plano Mineiro de Promoção da Integridade – PMPI.;https://www.pesquisalegislativa.mg.gov.br/LegislacaoCompleta.aspx?cod=183657&marc=
Lei;TRANSPARÊNCIA PÚBLICA e ACESSO À INFORMAÇÃO ;Lei Federal nº 12.527/2011;"Regula o acesso a informações previsto no inciso XXXIII do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição Federal; altera a Lei nº 8.112, de 11 de dezembro de 1990; revoga a Lei nº 11.111, de 5 de maio de 2005, e dispositivos da Lei nº 8.159, de 8 de janeiro de 1991; e dá outras providências.";https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12527.htm
Lei;PROTEÇÃO DE DADOS PESSOAIS ;Lei Federal nº 13.709/2018;Lei Geral de Proteção de Dados Pessoais (LGPD).;https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm
Lei;GOVERNO DIGITAL ;Lei Federal nº 14.129/2021;Dispõe sobre princípios, regras e instrumentos para o Governo Digital e para o aumento da eficiência pública e altera a Lei nº 7.116, de 29 de agosto de 1983, a Lei nº 12.527, de 18 de novembro de 2011 (Lei de Acesso à Informação), a Lei nº 12.682, de 9 de julho de 2012, e a Lei nº 13.460, de 26 de junho de 2017.;https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14129.htm
